Postal code;Lat;Long
6660;501.553.599.185.884;5.681.868.604.193.090
6687;5.008.988.048.136.100;5.678.127.382.385.670
6717;4.975.420.777.419.080;5.776.093.147.961.590
6761;4.955.987.469.152.940;5.566.885.790.661.550
6950;501.175.874.690.849;5.367.278.074.686.650
6990;50.268.167.181.605;5.451.885.055.651.390
3381;50.887.760.594.878.100;4.958.995.562.242.450
3052;5.082.559.015.169.220;4.710.276.094.943.630
1673;50.733.790.299.411.500;4.181.339.451.829.360
1570;5.074.105.581.245.330;39.902.980.751.472.400
3140;5.100.520.268.020.050;4.654.303.955.797.990
9032;51.115.287.374.583.300;3.738.386.889.083.240
9630;5.087.804.896.694.430;37.346.053.432.296.300
9130;5.129.334.611.618.760;4.203.171.492.710.520
4540;5.055.255.963.122.390;5.311.435.799.134.490
4367;50.716.831.389.555.600;5.402.696.581.101.540
4834;5.059.872.335.953.810;5.957.013.126.892.890
4602;5.068.354.687.061.110;567.580.876.014.664
4020;50.639.959.100.598.100;5.638.561.209.383.810
4300;5.069.000.743.206.160;5.253.818.432.923.700
4608;50.714.506.071.689.000;5.777.538.738.447.600
7712;50.721.852.963.883.900;3.240.635.140.304.600
6032;50.382.584.915.377.500;4.409.596.474.775.440
1081;5.086.301.498.471.670;4.324.083.268.779.550
1050;50.829.476.307.319.700;4.344.697.581.912.630
2330;51.370.433.742.714.700;4.870.213.713.566.060
2500;5.113.160.180.554.320;4.561.792.200.549.250
8650;5.098.454.557.706.050;29.030.974.565.617.200
8750;5.106.781.205.827.550;328.867.923.741.712
4120;5.053.217.303.794.810;5.482.227.353.192.980
5576;5.005.045.280.411.510;5.001.612.601.787.770
5352;50.460.277.864.723.500;5.175.428.601.096.170
5570;5.008.384.330.829.390;5.040.325.265.896.280
5644;50.288.945.096.747.600;4.723.851.662.787.100
5522;50.284.685.553.110.200;4.797.119.069.820.600
3510;5.095.107.161.633.330;525.139.545.968.784
3512;5.091.740.580.040.000;5.247.989.672.177.120
8434;5.115.486.680.637.320;27.761.610.348.929.300
8560;5.083.983.510.732.430;31.507.135.657.129.800
8908;508.470.357.900.288;28.206.986.206.233.800
8972;5.088.590.312.626.400;26.565.612.254.087.900
6782;4.961.018.109.325.080;5.764.544.551.734.920
6812;4.974.608.658.491.900;5.415.493.330.986.140
6820;49.730.217.343.328.700;5.184.128.185.589.920
9932;5.113.340.587.981.810;35.474.694.985.779.400
9968;5.123.188.747.088.600;3.675.027.437.464.860
9636;5.088.835.687.675.330;36.894.723.695.684.000
9041;51.103.064.477.304.000;3.772.807.392.554.310
4861;50.591.685.643.353.800;5.785.595.501.682.930
4623;5.060.129.962.416.620;5.686.458.271.555.580
4711;50.676.511.019.577.900;6.036.174.840.569.040
4651;5.063.955.879.367.360;5.794.266.605.981.540
4830;5.060.246.696.405.550;5.934.281.847.498.280
4431;50.666.242.681.486.600;54.966.005.840.809.200
4261;50.622.509.599.335.100;5.167.136.948.633.010
4600;5.073.709.797.041.670;5.701.782.207.365.340
7140;5.045.668.408.944.770;4.236.149.898.184.550
6061;5.040.703.507.741.260;4.474.362.856.677.050
7730;5.068.201.651.214.610;33.018.410.867.010.700
7521;505.862.481.736.304;3.412.335.241.590.890
7110;50.474.815.160.866.400;412.138.559.583.128
6567;50.321.764.997.657.000;4.190.430.142.008.370
7334;5.047.317.124.088.610;37.620.000.645.379.900
6211;50.503.548.344.357.400;4.482.079.376.421.940
1070;50.828.980.275.263.700;4.292.904.442.200.330
1325;5.067.844.529.926.430;4.711.227.589.915.230
1440;5.067.878.793.707.230;4.268.277.717.247.760
1457;5.061.680.143.779.530;4.692.532.525.665.680
1470;5.060.920.472.279.850;4.448.927.543.402.160
1490;5.062.644.859.932.740;4.562.595.910.150.400
2620;5.114.373.586.065.190;4.340.183.148.796.090
2860;51.064.188.891.317.100;4.514.746.404.462.980
2550;51.128.476.784.411.200;444.113.168.462.789
2390;5.128.881.699.322.610;4.743.920.598.152.030
2470;51.267.067.940.052.900;507.679.040.926.115
2460;5.122.543.459.542.960;4.912.232.894.257.660
2890;51.062.738.850.754.300;4.240.558.354.848.950
2000;51.248.447.820.724.300;4.376.134.025.032.600
2140;512.119.968.157.408;4.444.865.773.892.290
6830;497.690.492.821.049;5.118.811.913.985.810
1830;5.091.134.865.371.070;4.443.147.468.386.420
3128;5.100.532.033.491.210;4.748.688.160.616.190
1933;5.085.654.613.816.070;4.510.708.348.249.870
1703;5.083.953.171.216.250;4.199.980.231.053.450
3050;5.082.968.856.103.340;4.661.175.687.748.790
1731;5.090.119.406.509.110;4.279.490.957.617.120
3294;5.100.579.392.278.920;5.029.500.582.529.520
1750;50.820.531.678.444.600;4.179.767.578.395.020
9472;5.087.453.739.606.750;40.447.930.829.411.900
9680;5.079.985.672.096.750;36.269.285.276.748.400
9450;508.756.806.472.586;40.096.342.861.603.900
9401;5.081.752.760.603.050;4.005.803.312.914.620
9820;5.099.390.732.762.890;3.746.326.283.353.620
4432;506.804.582.190.948;55.072.436.753.673.600
4102;5.059.505.274.799.410;55.464.915.208.551.800
4160;50.479.093.496.502.400;55.228.972.877.804.900
4960;50.453.739.832.613.600;6.043.258.899.461.590
4630;50.646.425.643.526.300;57.032.087.296.498.600
7784;5.073.920.926.750.210;29.191.502.380.038.500
6240;5.043.504.749.697.210;4.548.899.555.935.830
6041;50.469.348.178.772.300;4.443.036.647.141.270
7750;50.724.482.583.521.300;35.044.545.736.781.300
6140;5.041.166.595.335.160;4.322.326.932.134.040
7941;5.060.955.347.523.930;38.336.833.054.901.900
7350;5.043.469.662.965.350;37.083.653.814.536.400
7170;5.050.169.979.774.870;42.454.380.952.875.600
7780;50.784.876.378.600.600;299.734.556.351.623
1041;5.087.298.266.192.050;4.375.234.148.039.780
1046;5.087.001.921.742.840;4.408.236.007.087.510
